Date,Price,Open,Max,Min
22.10.2020,425.79,442.15,444.74,424.72
21.10.2020,422.64,423.25,432.90,421.25
20.10.2020,421.94,430.91,430.91,419.10
19.10.2020,430.83,445.74,446.60,428.93
16.10.2020,439.67,454.44,455.95,438.85
15.10.2020,448.88,451.15,456.31,442.71
14.10.2020,461.30,449.74,465.75,447.77
13.10.2020,446.65,443.31,448.84,436.75
12.10.2020,442.30,441.84,448.67,438.63
09.10.2020,434.0,430.13,434.59,426.46
08.10.2020,425.92,438.95,438.95,425.47
07.10.2020,425.30,420.0,429.90,414.8
06.10.2020,413.98,425.0,428.50,406.58
05.10.2020,425.68,423.35,433.64,419.33
02.10.2020,415.9,421.39,439.13,415.0
01.10.2020,448.16,440.76,448.87,434.82
30.09.2020,429.1,421.76,433.67,420.48
29.09.2020,419.7,416.0,428.35,411.75
28.09.2020,421.20,424.62,428.8,415.55
25.09.2020,407.34,393.47,408.73,391.30
24.09.2020,387.79,363.80,399.50,351.30
23.09.2020,380.36,405.16,412.15,375.88
22.09.2020,424.23,429.60,437.76,417.60
21.09.2020,449.39,453.13,455.68,407.7
18.09.2020,442.15,447.94,451.0,428.80
17.09.2020,423.43,415.60,437.79,408.0
16.09.2020,441.76,439.87,457.79,435.31
15.09.2020,449.76,436.56,461.94,430.70
14.09.2020,419.62,380.95,420.0,373.30
11.09.2020,372.72,381.94,382.50,360.50
10.09.2020,371.34,386.21,398.99,360.56
09.09.2020,366.28,356.60,369.0,341.51
08.09.2020,330.21,356.0,368.74,329.88
04.09.2020,418.32,402.81,428.0,372.2
03.09.2020,407.0,407.23,431.80,402.0
02.09.2020,447.37,478.99,479.4,405.12
01.09.2020,475.5,502.14,502.49,470.51
31.08.2020,498.32,444.61,500.14,440.11
28.08.2020,442.68,459.2,463.70,437.30
27.08.2020,447.75,436.9,459.12,428.50
26.08.2020,430.63,412.0,433.20,410.73
25.08.2020,404.67,394.98,405.59,393.60
24.08.2020,402.84,425.25,425.80,385.50
21.08.2020,410.0,408.95,419.10,405.1
20.08.2020,400.37,372.14,404.40,371.41
19.08.2020,375.71,373.0,382.20,368.24
18.08.2020,377.42,379.80,384.78,369.2
17.08.2020,367.13,335.40,369.17,334.57
14.08.2020,330.14,333.0,333.76,325.33
13.08.2020,324.20,322.20,330.24,313.45
12.08.2020,310.95,294.0,317.0,287.0
11.08.2020,274.88,279.20,284.0,273.0
10.08.2020,283.71,289.60,291.50,277.17
07.08.2020,290.54,299.91,299.95,283.0
06.08.2020,297.92,298.17,303.46,295.45
05.08.2020,297.0,298.60,299.97,293.66
04.08.2020,297.40,299.0,305.48,292.40
03.08.2020,297.0,289.84,301.96,288.88
31.07.2020,286.15,303.0,303.41,284.20
30.07.2020,297.50,297.60,302.65,294.20
29.07.2020,299.82,300.20,306.96,297.40
28.07.2020,295.30,300.80,312.94,294.88
27.07.2020,307.92,287.0,309.59,282.60
24.07.2020,283.40,283.20,293.0,273.31
23.07.2020,302.61,335.79,337.80,296.15
22.07.2020,318.47,319.80,325.28,312.40
21.07.2020,313.67,327.99,335.0,311.60
20.07.2020,328.60,303.80,330.0,297.60
17.07.2020,300.17,302.69,307.50,298.0
16.07.2020,300.13,295.43,306.34,293.20
15.07.2020,309.20,308.60,310.0,291.40
14.07.2020,303.36,311.20,318.0,286.20
13.07.2020,299.41,331.80,359.0,294.22
10.07.2020,308.93,279.20,309.78,275.20
09.07.2020,278.86,279.40,281.71,270.26
08.07.2020,273.18,281.0,283.45,262.27
07.07.2020,277.97,281.0,285.90,267.34
06.07.2020,274.32,255.34,275.56,253.21
02.07.2020,241.73,244.30,245.60,237.12
01.07.2020,223.93,216.60,227.7,216.10
30.06.2020,215.96,201.30,217.54,200.75
29.06.2020,201.87,193.80,202.0,189.70
26.06.2020,191.95,198.96,199.0,190.97
25.06.2020,197.20,190.85,197.20,187.43
24.06.2020,192.17,198.82,200.18,190.63
23.06.2020,200.36,199.78,202.40,198.80
22.06.2020,198.86,199.99,201.78,198.0
19.06.2020,200.18,202.56,203.19,198.27
18.06.2020,200.79,200.60,203.84,198.89
17.06.2020,198.36,197.54,201.0,196.51
16.06.2020,196.43,202.37,202.58,192.48
15.06.2020,198.18,183.56,199.77,181.70
12.06.2020,187.6,196.0,197.60,182.52
11.06.2020,194.57,198.4,203.79,194.40
10.06.2020,205.1,198.38,205.50,196.50
09.06.2020,188.13,188.0,190.89,184.79
08.06.2020,189.98,183.80,190.0,181.83
05.06.2020,177.13,175.57,177.30,173.24
04.06.2020,172.88,177.98,179.15,171.69
03.06.2020,176.59,177.62,179.59,176.2
02.06.2020,176.31,178.94,181.73,174.20
01.06.2020,179.62,171.60,179.80,170.82
29.05.2020,167.0,161.75,167.0,160.84
28.05.2020,161.16,162.70,164.95,160.34
27.05.2020,164.5,164.17,165.54,157.0
26.05.2020,163.77,166.90,166.92,163.14
22.05.2020,163.38,164.43,166.36,162.40
21.05.2020,165.52,163.20,166.50,159.20
20.05.2020,163.11,164.10,165.20,162.36
19.05.2020,161.60,163.3,164.41,161.22
18.05.2020,162.73,165.56,166.94,160.78
15.05.2020,159.83,158.7,161.1,157.31
14.05.2020,160.67,156.0,160.67,152.80
13.05.2020,158.19,164.17,165.20,152.66
12.05.2020,161.88,165.40,168.66,161.60
11.05.2020,162.26,158.10,164.80,157.0
08.05.2020,163.88,158.75,164.80,157.40
07.05.2020,156.1,155.44,159.28,154.47
06.05.2020,156.52,155.30,157.96,152.22
05.05.2020,153.64,157.96,159.78,152.44
04.05.2020,152.24,140.20,152.40,139.60
01.05.2020,140.26,151.0,154.55,136.61
30.04.2020,156.38,171.4,173.96,152.70
29.04.2020,160.10,158.3,160.64,156.63
28.04.2020,153.82,159.13,161.0,151.34
27.04.2020,159.75,147.52,159.90,147.0
24.04.2020,145.3,142.16,146.15,139.64
23.04.2020,141.13,145.52,146.80,140.63
22.04.2020,146.42,140.80,146.80,137.74
21.04.2020,137.34,146.2,150.67,134.76
20.04.2020,149.27,146.54,153.11,142.44
17.04.2020,150.78,154.46,154.99,149.53
16.04.2020,149.4,143.39,151.89,141.34
15.04.2020,145.97,148.40,150.63,142.0
14.04.2020,141.98,139.79,148.38,138.49
13.04.2020,130.19,118.3,130.40,116.11
09.04.2020,114.60,112.42,115.4,111.42
08.04.2020,109.77,110.84,111.44,106.67
07.04.2020,109.9,109.0,113.0,106.47
06.04.2020,103.25,102.24,104.20,99.59
03.04.2020,96.0,101.90,103.10,93.68
02.04.2020,90.89,96.21,98.85,89.28
01.04.2020,96.31,100.80,102.79,95.2
31.03.2020,104.80,100.25,108.59,99.40
30.03.2020,100.43,102.5,103.33,98.25
27.03.2020,102.87,101.0,105.16,98.81
26.03.2020,105.63,109.48,112.0,102.45
25.03.2020,107.85,109.5,111.40,102.22
24.03.2020,101.0,95.46,102.74,94.80
23.03.2020,86.86,86.72,88.40,82.10
20.03.2020,85.51,87.64,95.40,85.16
19.03.2020,85.53,74.94,90.40,71.69
18.03.2020,72.24,77.80,80.97,70.10
17.03.2020,86.4,88.0,94.37,79.20
16.03.2020,89.1,93.90,98.97,88.43
13.03.2020,109.32,119.0,121.51,100.40
12.03.2020,112.11,116.18,118.90,109.25
11.03.2020,126.85,128.4,130.72,122.60
10.03.2020,129.7,131.89,133.60,121.60
09.03.2020,121.60,121.8,132.60,121.0
06.03.2020,140.70,138.0,141.40,136.85
05.03.2020,144.91,144.75,149.15,143.61
04.03.2020,149.90,152.79,153.30,144.95
03.03.2020,149.10,161.0,161.40,143.22
02.03.2020,148.72,142.25,148.74,137.33
28.02.2020,133.60,125.94,138.10,122.30
27.02.2020,135.80,146.0,147.95,133.80
26.02.2020,155.76,156.50,162.66,155.22
25.02.2020,159.98,169.80,171.32,157.40
24.02.2020,166.76,167.80,172.70,164.44
21.02.2020,180.20,181.40,182.61,176.9
20.02.2020,179.88,182.39,182.40,171.99
19.02.2020,183.48,184.70,188.96,180.20
18.02.2020,171.68,168.32,172.0,166.47
